,geography_code,tenure_type,value,variable_name
311,E07000154,local_authority_owned,,number_of_houses
312,E07000155,local_authority_owned,,number_of_houses
313,E07000156,local_authority_owned,,number_of_houses
314,E10000022,local_authority_owned,,number_of_houses
315,E07000157,local_authority_owned,,number_of_houses
316,E07000158,local_authority_owned,,number_of_houses
317,E07000159,local_authority_owned,,number_of_houses
318,E07000160,local_authority_owned,,number_of_houses
319,E07000161,local_authority_owned,,number_of_houses
320,E07000162,local_authority_owned,,number_of_houses
321,E10000023,local_authority_owned,8502.0,number_of_houses
322,E07000163,local_authority_owned,31.0,number_of_houses
323,E07000164,local_authority_owned,0.0,number_of_houses
324,E07000165,local_authority_owned,3920.0,number_of_houses
325,E07000166,local_authority_owned,1478.0,number_of_houses
326,E07000167,local_authority_owned,22.0,number_of_houses
327,E07000168,local_authority_owned,0.0,number_of_houses
328,E07000169,local_authority_owned,3051.0,number_of_houses
329,E10000024,local_authority_owned,29808.0,number_of_houses
330,E07000170,local_authority_owned,6632.0,number_of_houses
331,E07000171,local_authority_owned,6626.0,number_of_houses
332,E07000172,local_authority_owned,4398.0,number_of_houses
333,E07000173,local_authority_owned,188.0,number_of_houses
334,E07000174,local_authority_owned,6374.0,number_of_houses
335,E07000175,local_authority_owned,5560.0,number_of_houses
336,E07000176,local_authority_owned,30.0,number_of_houses
337,E10000025,local_authority_owned,7868.0,number_of_houses
338,E07000177,local_authority_owned,252.0,number_of_houses
339,E07000178,local_authority_owned,7613.0,number_of_houses
340,E07000179,local_authority_owned,0.0,number_of_houses
341,E07000180,local_authority_owned,3.0,number_of_houses
342,E07000181,local_authority_owned,0.0,number_of_houses
343,E10000026,local_authority_owned,,number_of_houses
344,E07000182,local_authority_owned,,number_of_houses
345,E07000183,local_authority_owned,,number_of_houses
346,E07000184,local_authority_owned,,number_of_houses
347,E07000185,local_authority_owned,,number_of_houses
348,E07000186,local_authority_owned,,number_of_houses
349,E10000027,local_authority_owned,9738.0,number_of_houses
350,E07000187,local_authority_owned,0.0,number_of_houses
351,E07000188,local_authority_owned,4031.0,number_of_houses
352,E07000246,local_authority_owned,5675.0,number_of_houses
353,E07000189,local_authority_owned,32.0,number_of_houses
354,E07000190,local_authority_owned,,number_of_houses
355,E07000191,local_authority_owned,,number_of_houses
356,E10000028,local_authority_owned,9452.0,number_of_houses
357,E07000192,local_authority_owned,5080.0,number_of_houses
358,E07000193,local_authority_owned,0.0,number_of_houses
359,E07000194,local_authority_owned,5.0,number_of_houses
360,E07000195,local_authority_owned,0.0,number_of_houses
361,E07000196,local_authority_owned,3.0,number_of_houses
362,E07000197,local_authority_owned,6.0,number_of_houses
363,E07000198,local_authority_owned,7.0,number_of_houses
364,E07000199,local_authority_owned,4351.0,number_of_houses
365,E10000029,local_authority_owned,19206.0,number_of_houses
366,E07000200,local_authority_owned,3501.0,number_of_houses
367,E07000244,local_authority_owned,4455.0,number_of_houses
368,E07000201,local_authority_owned,,number_of_houses
369,E07000202,local_authority_owned,7926.0,number_of_houses
370,E07000203,local_authority_owned,3269.0,number_of_houses
371,E07000204,local_authority_owned,,number_of_houses
372,E07000205,local_authority_owned,,number_of_houses
373,E07000206,local_authority_owned,,number_of_houses
374,E07000245,local_authority_owned,55.0,number_of_houses
375,E10000030,local_authority_owned,19342.0,number_of_houses
376,E07000207,local_authority_owned,63.0,number_of_houses
377,E07000208,local_authority_owned,26.0,number_of_houses
378,E07000209,local_authority_owned,5253.0,number_of_houses
379,E07000210,local_authority_owned,40.0,number_of_houses
380,E07000211,local_authority_owned,41.0,number_of_houses
381,E07000212,local_authority_owned,3124.0,number_of_houses
382,E07000213,local_authority_owned,5.0,number_of_houses
383,E07000214,local_authority_owned,17.0,number_of_houses
384,E07000215,local_authority_owned,2580.0,number_of_houses
385,E07000216,local_authority_owned,4799.0,number_of_houses
386,E07000217,local_authority_owned,3394.0,number_of_houses
387,E10000031,local_authority_owned,17651.0,number_of_houses
388,E07000218,local_authority_owned,2594.0,number_of_houses
389,E07000219,local_authority_owned,5648.0,number_of_houses
390,E07000220,local_authority_owned,3847.0,number_of_houses
391,E07000221,local_authority_owned,10.0,number_of_houses
392,E07000222,local_authority_owned,5552.0,number_of_houses
393,E10000032,local_authority_owned,14160.0,number_of_houses
394,E07000223,local_authority_owned,2516.0,number_of_houses
395,E07000224,local_authority_owned,3409.0,number_of_houses
396,E07000225,local_authority_owned,94.0,number_of_houses
397,E07000226,local_authority_owned,8013.0,number_of_houses
398,E07000227,local_authority_owned,88.0,number_of_houses
399,E07000228,local_authority_owned,40.0,number_of_houses
400,E07000229,local_authority_owned,0.0,number_of_houses
401,E10000033,local_authority_owned,,number_of_houses
402,E07000230,local_authority_owned,,number_of_houses
403,E07000231,local_authority_owned,,number_of_houses
404,E07000232,local_authority_owned,,number_of_houses
405,E07000233,local_authority_owned,,number_of_houses
406,E10000034,local_authority_owned,5636.0,number_of_houses
407,E07000234,local_authority_owned,0.0,number_of_houses
408,E07000235,local_authority_owned,2.0,number_of_houses
409,E07000236,local_authority_owned,5605.0,number_of_houses
410,E07000237,local_authority_owned,11.0,number_of_houses
411,E07000238,local_authority_owned,6.0,number_of_houses
412,E07000239,local_authority_owned,12.0,number_of_houses
413,E92000001,private_registered_provider,2619054.0,number_of_houses
414,E06000022,private_registered_provider,11796.0,number_of_houses
415,E06000055,private_registered_provider,12737.0,number_of_houses
416,E06000008,private_registered_provider,11675.0,number_of_houses
417,E06000009,private_registered_provider,2466.0,number_of_houses
418,E06000028,private_registered_provider,,number_of_houses
419,E06000058,private_registered_provider,9089.0,number_of_houses
420,E06000036,private_registered_provider,8215.0,number_of_houses
421,E06000043,private_registered_provider,6831.0,number_of_houses
422,E06000023,private_registered_provider,12860.0,number_of_houses
423,E06000060,private_registered_provider,29857.0,number_of_houses
424,E06000056,private_registered_provider,11649.0,number_of_houses
425,E06000049,private_registered_provider,21558.0,number_of_houses
426,E06000050,private_registered_provider,18695.0,number_of_houses
427,E06000052,private_registered_provider,22682.0,number_of_houses
428,E06000047,private_registered_provider,48608.0,number_of_houses
429,E06000005,private_registered_provider,3063.0,number_of_houses
430,E06000015,private_registered_provider,8330.0,number_of_houses
431,E06000059,private_registered_provider,21445.0,number_of_houses
432,E06000011,private_registered_provider,3392.0,number_of_houses
433,E06000006,private_registered_provider,14321.0,number_of_houses
434,E06000001,private_registered_provider,9838.0,number_of_houses
435,E06000019,private_registered_provider,11401.0,number_of_houses
436,E06000046,private_registered_provider,7385.0,number_of_houses
437,E06000053,private_registered_provider,159.0,number_of_houses
438,E06000010,private_registered_provider,9518.0,number_of_houses
439,E06000016,private_registered_provider,10890.0,number_of_houses
440,E06000032,private_registered_provider,4846.0,number_of_houses
441,E06000035,private_registered_provider,5354.0,number_of_houses
442,E06000002,private_registered_provider,15091.0,number_of_houses
443,E06000042,private_registered_provider,10364.0,number_of_houses
444,E06000012,private_registered_provider,9568.0,number_of_houses
445,E06000013,private_registered_provider,11609.0,number_of_houses
446,E06000061,private_registered_provider,16151.0,number_of_houses
447,E06000024,private_registered_provider,9641.0,number_of_houses
448,E06000057,private_registered_provider,18068.0,number_of_houses
449,E06000018,private_registered_provider,10415.0,number_of_houses
450,E06000031,private_registered_provider,16038.0,number_of_houses
451,E06000026,private_registered_provider,22318.0,number_of_houses
452,E06000029,private_registered_provider,,number_of_houses
453,E06000044,private_registered_provider,6411.0,number_of_houses
454,E06000038,private_registered_provider,4639.0,number_of_houses
455,E06000003,private_registered_provider,12376.0,number_of_houses
456,E06000017,private_registered_provider,1836.0,number_of_houses
457,E06000051,private_registered_provider,14922.0,number_of_houses
458,E06000039,private_registered_provider,4179.0,number_of_houses
459,E06000025,private_registered_provider,13681.0,number_of_houses
460,E06000045,private_registered_provider,7901.0,number_of_houses
461,E06000033,private_registered_provider,3727.0,number_of_houses
462,E06000004,private_registered_provider,14062.0,number_of_houses
463,E06000021,private_registered_provider,8437.0,number_of_houses
464,E06000030,private_registered_provider,5674.0,number_of_houses
465,E06000020,private_registered_provider,13850.0,number_of_houses
466,E06000034,private_registered_provider,2156.0,number_of_houses
467,E06000027,private_registered_provider,5431.0,number_of_houses
468,E06000007,private_registered_provider,14655.0,number_of_houses
